Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Chihuahua,08021,Delicias," 1,115.19 ", 723.88 ," 11,485.94 "," 11,318.69 "," 4,521.45 "," 6,100.81 "," 2,744.25 "
Chihuahua,08022,Dr. Belisario Domínguez, 16.93 , 11.59 , 0.73 , 229.56 , 288.82 , 929.11 , 46.64 
Chihuahua,08023,Galeana, 201.36 , 54.84 , 1.24 , 554.44 , 272.60 , 655.25 , 92.83 
Chihuahua,08024,Santa Isabel, 44.20 , 18.69 , 0.65 , 57.37 , 280.90 ," 1,079.24 ", 43.30 
Chihuahua,08025,Gómez Farías, 166.32 , 105.82 , 6.71 ," 1,688.61 ", 836.32 ," 2,828.54 ", 251.09 
Chihuahua,08026,Gran Morelos, 36.36 , 17.78 , 0.97 , 330.83 , 588.62 ," 1,995.40 ", 66.47 
Chihuahua,08027,Guachochi, 716.57 , 550.10 , 39.56 ," 6,349.44 ", 529.56 ," 1,840.57 ", 520.53 
Chihuahua,08028,Guadalupe, 57.66 , 28.66 , 2.38 , 940.20 , 297.45 , 417.49 , 36.37 
Chihuahua,08029,Guadalupe y Calvo," 1,076.90 ", 912.85 , 76.03 ," 10,114.68 ", 575.19 ," 2,162.19 ", 453.66 
Chihuahua,08030,Guazapares, 115.01 , 91.59 , 7.68 ," 1,004.81 ", 231.18 ," 1,175.68 ", 88.60 
Chihuahua,08031,Guerrero, 704.03 , 367.61 , 17.39 ," 4,176.84 "," 1,263.65 "," 1,878.31 "," 1,238.07 "
Chihuahua,08032,Hidalgo del Parral, 304.58 , 243.40 , 26.96 ," 10,786.85 "," 2,733.09 "," 4,938.71 ", 192.79 
Chihuahua,08033,Huejotitán, 39.91 , 7.77 , 0.28 , 59.16 , 85.61 , 150.16 , 18.20 
Chihuahua,08034,Ignacio Zaragoza, 317.20 , 253.22 , 23.61 ," 3,094.60 ", 434.81 ," 1,625.09 ", 268.16 
Chihuahua,08035,Janos," 2,064.79 "," 1,522.93 ", 151.80 ," 17,021.18 ", 796.34 ," 1,837.54 ", 640.62 
Chihuahua,08036,Jiménez, 779.97 , 213.17 , 5.34 ," 2,540.22 ", 763.38 ," 1,372.09 ", 450.78 
Chihuahua,08037,Juárez," 3,404.76 "," 2,857.92 ", 194.74 ," 99,212.87 "," 36,966.20 "," 38,949.90 "," 1,724.50 "
Chihuahua,08038,Julimes, 219.23 , 50.43 , 2.09 , 588.15 , 181.12 , 286.35 , 122.98 
Chihuahua,08039,López, 83.65 , 23.54 , 0.70 , 43.61 , 152.43 , 484.43 , 58.60 
Chihuahua,08040,Madera," 9,299.96 "," 7,798.59 ", 828.14 ," 91,569.54 "," 3,443.48 "," 7,799.97 "," 1,425.76 "
Chihuahua,08041,Maguarichi, 105.02 , 87.68 , 8.66 , 988.05 , 79.87 , 754.76 , 36.26 
Chihuahua,08042,Manuel Benavides, 11.75 , 4.90 , 0.20 , 87.98 , 34.01 , 99.84 , 33.73 
Chihuahua,08043,Matachí, 70.35 , 36.51 , 2.01 , 382.91 , 397.80 ," 1,602.84 ", 151.04 
Chihuahua,08044,Matamoros, 45.25 , 23.48 , 2.18 , 369.80 , 300.91 , 287.20 , 49.94 
Chihuahua,08045,Meoqui, 258.76 , 112.63 , 7.10 ," 3,643.29 "," 1,482.92 "," 3,555.58 ", 517.36 
Chihuahua,08046,Morelos, 83.17 , 73.03 , 4.36 , 783.29 , 80.92 , 844.05 , 57.30 
Chihuahua,08047,Moris, 200.01 , 166.16 , 16.01 ," 1,996.04 ", 145.97 ," 1,161.33 ", 65.04 
Chihuahua,08048,Namiquipa," 4,691.46 "," 3,692.51 ", 374.90 ," 42,471.51 "," 2,114.33 "," 4,892.51 "," 2,053.93 "
Chihuahua,08049,Nonoava, 231.42 , 195.88 , 20.67 ," 2,299.75 ", 290.17 , 612.90 , 64.20 
Chihuahua,08050,Nuevo Casas Grandes, 345.33 , 207.02 , 10.22 ," 4,758.92 "," 1,508.46 "," 2,087.61 ", 408.25 
Chihuahua,08051,Ocampo, 288.85 , 209.08 , 15.88 ," 1,948.28 ", 180.89 , 554.17 , 85.06 
